,Name,Tweet
0,Trump,Thank you!
1,Trump,Too bad. We will miss you Kamala!
2,Trump,"The United States of America supports the brave people of Iran who are protesting for their FREEDOM. We have under the Trump Administration, and always will!"
3,Trump,True!
4,Trump,"Mini Mike Bloomberg has instructed his third rate news organization not to investigate him or any Democrat, but to go after President Trump, only. The Failing New York Times thinks that is O.K., because their hatred &amp; bias is so great they can’t even see straight. It’s not O.K.!"
5,Trump,"Just landed in the United Kingdom, heading to London for NATO meetings tomorrow. Prior to landing I read the Republicans Report on the Impeachment Hoax. Great job! Radical Left has NO CASE. Read the Transcripts. Shouldn’t even be allowed. Can we go to Supreme Court to stop?"
6,Trump,"The Fed should lower rates (there is almost no inflation) and loosen, making us competitive with other nations, and manufacturing will SOAR! Dollar is very strong relative to others."
7,Trump,"Manufacturers are being held back by the strong Dollar, which is being propped up by the ridiculous policies of the Federal Reserve - Which has called interest rates and quantitative tightening wrong from the first days of Jay Powell!"
8,Trump,
9,Trump,Thank you to President Zelensky. Case over. The Do Nothing Democrats should finally go back to work!
10,Trump,"In the 3 decades before my election, NATO spending declined by two-thirds, and only 3 other NATO members were meeting their financial obligations. Since I took office, the number of NATO allies fulfilling their obligations more than DOUBLED, and NATO spending increased by $130B!"
11,Trump,"Great job by @RepDougCollins of Georgia over the weekend in representing the Republican Party, and myself, against the Impeachment Hoax!"
12,Trump,"When Lisa Page, the lover of Peter Strzok, talks about being “crushed”, and how innocent she is, ask her to read Peter’s “Insurance Policy” text, to her, just in case Hillary loses. Also, why were the lovers text messages scrubbed after he left Mueller. Where are they Lisa?"
13,Trump,"The Republican Party has NEVER been so united! This Impeachment Scam is just a continuation of the 3 year Witch Hunt, but it is only bringing us even closer together!"
14,Trump,"Not only did I see it @Doks_Art, I think it is fantastic. You are a wonderful artist, never give up your dream!"
15,Trump,Thank you to Great Republican @SenJohnKennedy for the job he did in representing both the Republican Party and myself against Sleepy Eyes Chuck Todd on Meet the Depressed!
16,Trump,"Thank you to Congressman Ben @Cline4Virginia for the Great remarks this morning on the illegitimate Impeachment Hoax. He understands the Do Nothing Democrats very well. Also, and as usual, @RepAndyBiggsAZ was fantastic!"
17,Trump,Heading to Europe to represent our Country and fight hard for the American People while the Do Nothing Democrats purposely scheduled an Impeachment Hoax hearing on the same date as NATO. Not nice!
18,Trump,"The Do Nothing Democrats get 3 Constitutional lawyers for their Impeachment hoax (they will need them!), the Republicans get one. Oh, that sounds fair!"
19,Trump,"“When the law enforcers turn out to be the law breakers, then we have totally upended the rule of law. Nobody is safe and everybody is in trouble. Our system of government is under attack.”  @GovMikeHuckabee"
20,Trump,"“The Democrats don’t have any evidence, but they are still going to do it anyway. That’s the sham that’s going on here.”  @jasoninthehouse Chaffetz"
21,Trump,"Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it would be case over!"
22,Trump,"“The United States has outperformed the rest of the world in an eye popping fashion. I don’t think we’ve seen numbers like that.” Mohamed El-Erian, Allianz Chief Economic Adviser. But despite this there is tremendous potential for growth, far greater than most have understood!"
23,Trump,"“The American people are going to see this for what it is. It is a political effort by the Democrats, and the President certainly doesn’t have to aid in the Impeachment effort.” Robert Ray @MariaBartiromo  Democrats are getting “killed” in their home districts. 2020!"
24,Trump,"“The process has been unfair. Republicans can’t even get their own witnesses. It gets me that Adam Schiff is not punishable for lying, in any way.” @MariaBartiromo"
25,Trump,"U.S. Markets are up as much as 21% since the announcement of Tariffs on 3/1/2018 - and the U.S. is taking in massive amounts of money (and giving some to our farmers, who have been targeted by China)!"
26,Trump,".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong dollar by further devaluing their currencies. This makes it very hard for our manufactures &amp; farmers to fairly export their goods. Lower Rates &amp; Loosen - Fed!"
27,Trump,"Brazil and Argentina have been presiding over a massive devaluation of their currencies. which is not good for our farmers. Therefore, effective immediately, I will restore the Tariffs on all Steel &amp; Aluminum that is shipped into the U.S. from those countries. The Federal...."
28,Trump,“It is clear that there is none of the bipartisan support that Speaker Pelosi said for months was essential for Impeachment.” Chris Wallace @FoxNews
29,Trump,“Trump Economy Breaks Holiday Shopping Records.” @FoxNews
30,Trump,"Great writer and historian, Doug Wead, has written a true (not Fake News) account of what is going on in Washington and the White House. His new book, INSIDE TRUMP’S WHITE HOUSE, is an incredible description of a very exciting and successful time in our Country’s history. Buy it!"
31,Trump,"“Donald Trump was framed back in 2016.” @MariaBartiromo  100% correct, Maria, and we can never let this happen to another president again!"
32,Trump,"....in America, community by community where we will eradicate AIDS in 10 years, program already started. American leadership has proven that together we can save lives."
33,Trump,"On World AIDS Day, The First Lady and I express our support for those living with HIV/AIDS and mourn the lives lost. We reaffirm our commitment to end the HIV/AIDS epidemic...."
34,Trump,“Schiff’s impeachment hearings wasting time when Congress must do real work”
35,Trump,"“Trump did nothing impeachable, day-by-day review of all impeachment hearing testimony shows” @GreggJarrett"
36,Trump,"“Sen. Tim Scott Says Trump 'Innocent,' 'No Way' Senate Convicts”"
37,Trump,An incredible experience!
38,Trump,Nancy Pelosi won’t put it up for a vote. Has delayed it for 6 months. See you in #2020!
39,Trump,"I will be representing our Country in London at NATO, while the Democrats are holding the most ridiculous Impeachment hearings in history. Read the Transcripts, NOTHING was done or said wrong! The Radical Left is undercutting our Country. Hearings scheduled on same dates as NATO!"
40,Trump,Robert Johnson knows business &amp; politics. He also understands lowest African American Unemployment in U.S. history!
41,Trump,And the Do Nothing Democrats want to impeach President Trump?
42,Trump,Thank you to @BuckMcNeely1 and Oliver North for the nice words and thoughts in an excellent interview. Best wishes!
43,Trump,
44,Trump,Just returned to the United States after spending a GREAT Thanksgiving with our Courageous American Warriors in Afghanistan!
45,Trump,I thought Newsweek was out of business?
46,Trump,HAPPY THANKSGIVING!
47,Trump,HAPPY THANKSGIVING!
48,Trump,95% Approval Rating in the Republican Party. Thank you!
49,Trump,"New Stock Market Record today, AGAIN. Congratulations USA!"
50,Trump,People now realize it is a Democrat Hoax!
51,Trump,
52,Trump,GOD BLESS THE U.S.A.!
53,Trump,
54,Trump,THANK YOU FLORIDA! #KAG2020
55,Trump,“OMB Official: Ukraine Aid Held Up Because Other Countries Weren't Giving”
56,Trump,
57,Trump,"...love to have Mike Pompeo, Rick Perry, Mick Mulvaney and many others testify about the phony Impeachment Hoax. It is a Democrat Scam that is going nowhere but, future Presidents should in no way be compromised. What has happened to me should never happen to another President!"
58,Trump,"...lawyer has already stated that I did nothing wrong. John Bolton is a patriot and may know that I held back the money from Ukraine because it is considered a corrupt country, &amp; I wanted to know why nearby European countries weren’t putting up money also. Likewise, I would...."
59,Trump,"The D.C. Wolves and Fake News Media are reading far too much into people being forced by Courts to testify before Congress. I am fighting for future Presidents and the Office of the President. Other than that, I would actually like people to testify. Don McGahn’s respected...."
60,Trump,"When the Military rips down an old &amp; badly broken Border Wall in an important location, &amp; replaces it with a brand new 30 ft. high Steel &amp; Concrete Wall, Nancy Pelosi says we are not building a Wall. Wrong, and it is going up fast. Brandon Judd just gave us great marks! @FoxNews"
61,Trump,I will always protect our great warfighters. I’ve got your backs!
62,Trump,Great job Heather!
63,Trump,"“Poll shows Dems losing interest in Impeachment inquiry all across the board. These Polls are actually devastating to the Democrats. But the writing was on the wall. He’s done so many great things. He’s devastated ISIS &amp; killed AlBaghdadi, building Wall.” Jason Meister @FoxNews"
64,Trump,
65,Trump,“Democrats committed to impeaching Trump for no reason.” Will backfire into big 2020 Victory for Republicans! @IngrahamAngle
66,Trump,"“DOW, NASDAQ, S&amp;P 500 CLOSE AT RECORD HIGHS”"
67,Trump,
68,Trump,Another new Stock Market Record. Enjoy!
69,Trump,“The Democrats are getting hit and slammed on Impeachment. It is getting less and less popular by the day.” @kilmeade @foxandfriends
70,Trump,"Support for Impeachment is dropping like a rock, down into the 20’s in some Polls. Dems should now get down to work and finally approve USMCA, and much more!"
71,Trump,“President Trump is facing a process which is unprecedented for its unfairness.” Sam Dewey
72,Trump,"....honors that he has earned, including his Trident Pin. Admiral and now Ambassador to Norway Ken Braithwaite will be nominated by me to be the new Secretary of the Navy. A man of great achievement and success, I know Ken will do an outstanding job!"
73,Trump,"....contracting procedures were not addressed to my satisfaction. Therefore, Secretary of the Navy Richard Spencer’s services have been terminated by Secretary of Defense Mark Esper. I thank Richard for his service &amp; commitment. Eddie will retire peacefully with all of the....."
74,Trump,"I was not pleased with the way that Navy Seal Eddie Gallagher’s trial was handled by the Navy. He was treated very badly but, despite this, was completely exonerated on all major charges. I then restored Eddie’s rank. Likewise, large cost overruns from past administration’s....."
75,Trump,Democrats going back to their Districts for Thanksgiving are getting absolutely hammered by their constituents over the phony Impeachment Scam. Republicans will have a great #2020 Election!
76,Trump,"“The whole Russia thing was a Hoax, and the Ukraine thing is a Hoax, and the Democrats are a Joke. This is a disaster for them!” @DevinNunes @FoxNews The Do Nothing Democrats are hurting our Country, and they don’t care!"
77,Trump,"The Impeachment Scam is driving Republican Poll Numbers UP, UP, UP! Thank you Shifty."
78,Trump,"This is a great and well reseached book on Justice K. The Ruth Marcus book is a badly written &amp; reseached disaster. So many incorrect facts. Fake News, just like the @washingtonpost!"
